ds,yhat,yhat_lower,yhat_upper
2025-02-13,2275.278148628359,1482.680961795506,3066.2456559719158
2025-02-14,2276.729291406036,1480.7622280544676,3048.7078278706613
2025-02-15,2278.0840704766456,1507.4726281706567,3040.5741613326536
2025-02-16,2278.7198056291954,1506.1268764665604,3028.4552214381556
2025-02-17,2278.7740847506097,1465.633642539673,3070.0593998837003
2025-02-18,2278.9771608404953,1478.182471931781,3069.2809889273917
2025-02-19,2279.9337505410485,1488.899807042135,3027.899302783473
2025-02-20,2281.541092435738,1485.2684253174405,3069.5044217122877
2025-02-21,2283.088656020753,1473.9690189067605,3053.027519928969
2025-02-22,2283.9314135859145,1473.2303498096633,3083.684521865484
2025-02-23,2284.087708435122,1478.9164924193421,3099.7341137327253
2025-02-24,2284.195380898405,1475.4374461752475,3104.2671374757174
2025-02-25,2284.878094240038,1475.1701267633516,3074.270018210821
2025-02-26,2286.132052072126,1473.347810315771,3093.2932195623944
2025-02-27,2287.3127350156974,1450.6195420945025,3089.798016677058
2025-02-28,2287.7231821079176,1467.5506502750507,3083.9508256717145
2025-03-01,2287.241406730152,1458.0203391843966,3090.2134701416644
2025-03-02,2286.409642478843,1453.485130593854,3113.289325507635
2025-03-03,2285.9385930876692,1451.63580937505,3090.550233104832
2025-03-04,2286.1295056402787,1465.3966160624377,3100.2162670154835
2025-03-05,2286.7569269829864,1449.7518073942783,3119.497353482434
2025-03-06,2287.4667707281974,1445.941145902618,3103.1092102853336
2025-03-07,2288.22649469117,1454.0659336692968,3108.422524428983
2025-03-08,2289.3337684827347,1419.8330645756976,3129.719361048928
2025-03-09,2290.9706068298883,1421.285750983898,3120.779739921847
2025-03-10,2292.790548763339,1424.907595498184,3098.3973535048003
2025-03-11,2294.03093435428,1436.7696461671087,3125.523007439254
2025-03-12,2294.1271949605143,1429.0143286390437,3140.6869110091898
2025-03-13,2293.2741799724695,1428.4733920934534,3138.645735981256
2025-03-14,2292.370423436333,1436.732931096576,3143.4742213994973
2025-03-15,2292.3343198758116,1410.33805756678,3111.767737424894
2025-03-16,2293.380554527938,1415.4506455381925,3139.759859123154
2025-03-17,2294.9095772206447,1406.2562424640607,3155.9183244328174
2025-03-18,2296.1113483303557,1403.8547207629329,3138.7524940935905
2025-03-19,2296.7269424503825,1412.2941748645937,3163.27678586342
2025-03-20,2297.2689498397704,1419.3349790144111,3192.1432935983084
2025-03-21,2298.5122341370293,1415.8859910393685,3168.247709342808
2025-03-22,2300.749486200751,1433.1257015497588,3176.836558354608
2025-03-23,2303.5166979235705,1408.8314217293826,3156.599401506736
2025-03-24,2306.0375961063187,1400.5718206441163,3160.782552755347
2025-03-25,2307.9520224699845,1411.9715987041373,3163.2151621578237
2025-03-26,2309.6319146929045,1394.0531569790373,3164.4953085750208
2025-03-27,2311.7915303394516,1422.8522650843993,3209.6766110455724
2025-03-28,2314.7729439081495,1421.2712279703658,3173.161996301488
2025-03-29,2318.18878808114,1415.937810459047,3178.244404604983
2025-03-30,2321.2533626253876,1395.9096351022154,3206.978348667548
2025-03-31,2323.4780846171943,1420.9613886705713,3204.5596861559393
2025-04-01,2325.0773794151664,1426.3701934046367,3193.4704429869907
2025-04-02,2326.7299699534533,1432.413308954141,3221.5242390738063
2025-04-03,2328.9617583789995,1413.8907375818937,3203.2509519637306
2025-04-04,2331.75319026624,1389.0109789926253,3197.067281557307
2025-04-05,2334.7125930519787,1376.5389216984286,3219.196139993753
2025-04-06,2337.575520991446,1421.1740960590105,3228.6767907632047
2025-04-07,2340.4743516381213,1389.0361679149748,3242.596222578105
2025-04-08,2343.6836043430335,1418.8311771389547,3249.644116976138
2025-04-09,2347.114899409959,1414.1402606581867,3242.860467839631
2025-04-10,2350.1299236061814,1393.9677894494048,3284.420031177349
2025-04-11,2351.94777664071,1396.9208358793508,3263.317661479348
2025-04-12,2352.3192566661182,1382.0744113213163,3232.565545063808
2025-04-13,2351.8251682052432,1391.7205276888785,3227.454058971357
2025-04-14,2351.4638367705447,1415.9800958185467,3246.406347740342
2025-04-15,2351.8533398547947,1369.0126735800854,3244.8264257665433
2025-04-16,2352.756973501122,1412.305196720866,3268.887236754764
2025-04-17,2353.3644437433563,1376.4323205952965,3286.5652208605356
2025-04-18,2353.0702146516883,1383.7957307831964,3283.861042836309
2025-04-19,2352.032090750753,1378.9942390165304,3239.0104060317517
2025-04-20,2351.003189294792,1356.1623616664353,3262.907074335346
2025-04-21,2350.6132463785457,1381.391484645932,3283.34186630696
2025-04-22,2350.7861253091587,1346.1693866999194,3266.6534839809597
2025-04-23,2350.8389300988056,1349.547175551083,3300.2710630562633
2025-04-24,2350.1546497841655,1378.4244201922165,3246.9845820957144
2025-04-25,2348.7793816656717,1373.1169585064142,3290.477602074338
2025-04-26,2347.377810412155,1336.1657911426978,3274.004012776727
2025-04-27,2346.5989010639023,1311.8767960819716,3315.5778149655316
2025-04-28,2346.4620134896713,1346.9511344971731,3291.8352747448816
2025-04-29,2346.3430815743654,1347.266376289098,3290.4545943911976
2025-04-30,2345.562397331923,1317.224866493314,3295.2355610100435
